,title,genres
118,Baby Driver,"Action, Crime"
119,Schindler's List,"Drama, History, War"
120,Return of the Jedi,"Adventure, Action, Science Fiction"
121,Spider-Man: Far From Home,"Action, Adventure, Science Fiction"
122,Skyfall,"Action, Adventure, Thriller"
123,Gravity,"Science Fiction, Thriller, Drama"
124,X-Men: Days of Future Past,"Action, Adventure, Science Fiction"
125,Ready Player One,"Adventure, Action, Science Fiction"
126,World War Z,"Action, Drama, Horror, Science Fiction, Thriller"
127,Catch Me If You Can,"Drama, Crime"
128,Rogue One: A Star Wars Story,"Action, Adventure, Science Fiction"
129,Star Wars: The Last Jedi,"Adventure, Action, Science Fiction"
130,Man of Steel,"Action, Adventure, Science Fiction"
131,Despicable Me,"Family, Animation, Comedy"
132,Spider-Man 2,"Action, Adventure, Fantasy"
133,Spider-Man: Into the Spider-Verse,"Action, Adventure, Animation, Science Fiction"
134,Charlie and the Chocolate Factory,"Adventure, Comedy, Family, Fantasy"
135,Whiplash,"Drama, Music"
136,The Departed,"Drama, Thriller, Crime"
137,The Grand Budapest Hotel,"Comedy, Drama"
138,Toy Story 3,"Animation, Family, Comedy"
139,Memento,"Mystery, Thriller"
140,Eternal Sunshine of the Spotless Mind,"Science Fiction, Drama, Romance"
141,Léon: The Professional,"Crime, Drama, Action"
142,Black Swan,"Drama, Thriller, Horror"
143,V for Vendetta,"Action, Thriller, Science Fiction"
144,Star Wars: Episode I - The Phantom Menace,"Adventure, Action, Science Fiction"
145,Her,"Romance, Science Fiction, Drama"
146,Pirates of the Caribbean: At World's End,"Adventure, Fantasy, Action"
147,The Hobbit: The Battle of the Five Armies,"Action, Adventure, Fantasy"
148,Reservoir Dogs,"Crime, Thriller"
149,The Hateful Eight,"Drama, Mystery, Western"
150,Alien,"Horror, Science Fiction"
151,Sherlock Holmes,"Action, Adventure, Crime, Mystery"
152,Alice in Wonderland,"Family, Fantasy, Adventure"
153,Pirates of the Caribbean: On Stranger Tides,"Adventure, Action, Fantasy"
154,Spider-Man 3,"Fantasy, Action, Adventure"
155,A Quiet Place,"Horror, Drama, Science Fiction"
156,Aquaman,"Action, Adventure, Fantasy"
157,Kill Bill: Vol. 2,"Action, Crime, Thriller"
158,Cars,"Animation, Adventure, Comedy, Family"
159,Toy Story 2,"Animation, Comedy, Family"
160,Men in Black,"Action, Adventure, Comedy, Science Fiction"
161,Edge of Tomorrow,"Action, Science Fiction"
162,300,"Action, Adventure, War"
163,Jumanji: Welcome to the Jungle,"Adventure, Action, Comedy, Fantasy"
164,Blade Runner,"Science Fiction, Drama, Thriller"
165,Star Wars: Episode III - Revenge of the Sith,"Adventure, Action, Science Fiction"
166,Hacksaw Ridge,"Drama, History, War"
167,Twilight,"Fantasy, Drama, Romance"
168,Brave,"Animation, Adventure, Comedy, Family, Action, Fantasy"
169,Ant-Man and the Wasp,"Action, Adventure, Science Fiction"
170,Maleficent,"Fantasy, Adventure, Action, Family, Romance"
171,Passengers,"Drama, Romance, Science Fiction"
172,Life of Pi,"Adventure, Drama"
173,Ex Machina,"Drama, Science Fiction"
174,The Amazing Spider-Man 2,"Action, Adventure, Fantasy"
175,Blade Runner 2049,"Science Fiction, Drama"
176,Ice Age,"Animation, Comedy, Family, Adventure"
177,Star Wars: Episode II - Attack of the Clones,"Adventure, Action, Science Fiction"
178,Justice League,"Action, Adventure, Science Fiction"
179,The Hobbit: The Desolation of Smaug,"Fantasy, Adventure, Action"
180,Once Upon a Time… in Hollywood,"Comedy, Drama, Thriller"
181,Life Is Beautiful,"Comedy, Drama"
182,X-Men: Apocalypse,"Action, Adventure, Science Fiction, Fantasy"
